
Predicted (weighted) excess deaths in 2021 during January

NOTE: February and March DATA LIKELY INCOMPLETE. ANY STATE WITH 0.0% CHANGE IN EXCESS DEATHS HAS NOT REPORTED ANY DATA

States sorted by excess deaths                                  |            i           |          States sorted by excess death percent increase              
Montana had 362 excess deaths (1.44% change)                    |           40           |          Minnesota had 1268 excess deaths (1.33% change)             
Indiana had 354 excess deaths (1.06% change)                    |           41           |          Iowa had 855 excess deaths (1.32% change)                   
Delaware had 331 excess deaths (1.42% change)                   |           42           |          Alaska had 96 excess deaths (1.3% change)                   
South Dakota had 281 excess deaths (1.44% change)               |           43           |          Nebraska had 449 excess deaths (1.29% change)               
Wyoming had 216 excess deaths (1.62% change)                    |           44           |          Oregon had 890 excess deaths (1.28% change)                 
North Dakota had 150 excess deaths (1.27% change)               |           45           |          North Dakota had 150 excess deaths (1.27% change)           
Vermont had 122 excess deaths (1.25% change)                    |           46           |          Vermont had 122 excess deaths (1.25% change)                
Hawaii had 115 excess deaths (1.12% change)                     |           47           |          Hawaii had 115 excess deaths (1.12% change)                 
Alaska had 96 excess deaths (1.3% change)                       |           48           |          Indiana had 354 excess deaths (1.06% change)                
Connecticut had -79 excess deaths (0.97% change)                |           49           |          Connecticut had -79 excess deaths (0.97% change)            
West Virginia had -181 excess deaths (0.91% change)             |           50           |          West Virginia had -181 excess deaths (0.91% change)         
North Carolina had -8233 excess deaths (0.0% change)            |           51           |          North Carolina had -8233 excess deaths (0.0% change)        


data current as of 2021-03-02 19:14:19.045663
