
Predicted (weighted) excess deaths in 2021 between January and February

NOTE: February and March DATA LIKELY INCOMPLETE. ANY STATE WITH 0.0% CHANGE IN EXCESS DEATHS HAS NOT REPORTED ANY DATA

States sorted by excess deaths                                  |            i           |          States sorted by excess death percent increase              
Rhode Island had -13 excess deaths (0.99% change)               |           29           |          Idaho had -14 excess deaths (0.99% change)                  
Idaho had -14 excess deaths (0.99% change)                      |           30           |          Rhode Island had -13 excess deaths (0.99% change)           
Delaware had -19 excess deaths (0.99% change)                   |           31           |          Delaware had -19 excess deaths (0.99% change)               
South Dakota had -45 excess deaths (0.96% change)               |           32           |          Massachusetts had -217 excess deaths (0.98% change)         
Montana had -79 excess deaths (0.95% change)                    |           33           |          Wisconsin had -190 excess deaths (0.98% change)             
Vermont had -93 excess deaths (0.9% change)                     |           34           |          Kentucky had -285 excess deaths (0.97% change)              
North Dakota had -107 excess deaths (0.9% change)               |           35           |          South Dakota had -45 excess deaths (0.96% change)           
Alaska had -127 excess deaths (0.79% change)                    |           36           |          Missouri had -459 excess deaths (0.96% change)              
Wisconsin had -190 excess deaths (0.98% change)                 |           37           |          Montana had -79 excess deaths (0.95% change)                
Massachusetts had -217 excess deaths (0.98% change)             |           38           |          Washington had -582 excess deaths (0.94% change)            
Kentucky had -285 excess deaths (0.97% change)                  |           39           |          Minnesota had -599 excess deaths (0.92% change)             
Hawaii had -321 excess deaths (0.83% change)                    |           40           |          North Dakota had -107 excess deaths (0.9% change)           
Nebraska had -375 excess deaths (0.87% change)                  |           41           |          Vermont had -93 excess deaths (0.9% change)                 
Missouri had -459 excess deaths (0.96% change)                  |           42           |          Iowa had -554 excess deaths (0.89% change)                  
Iowa had -554 excess deaths (0.89% change)                      |           43           |          Nebraska had -375 excess deaths (0.87% change)              
Washington had -582 excess deaths (0.94% change)                |           44           |          Oregon had -909 excess deaths (0.85% change)                
Minnesota had -599 excess deaths (0.92% change)                 |           45           |          Louisiana had -1313 excess deaths (0.83% change)            
Oregon had -909 excess deaths (0.85% change)                    |           46           |          Hawaii had -321 excess deaths (0.83% change)                
Louisiana had -1313 excess deaths (0.83% change)                |           47           |          Alaska had -127 excess deaths (0.79% change)                
West Virginia had -1988 excess deaths (0.48% change)            |           48           |          Indiana had -4992 excess deaths (0.55% change)              
Connecticut had -2698 excess deaths (0.5% change)               |           49           |          Connecticut had -2698 excess deaths (0.5% change)           
Indiana had -4992 excess deaths (0.55% change)                  |           50           |          West Virginia had -1988 excess deaths (0.48% change)        
North Carolina had -16025 excess deaths (0.0% change)           |           51           |          North Carolina had -16025 excess deaths (0.0% change)       


data current as of 2021-03-02 19:18:36.168981
