
Predicted (weighted) excess deaths in 2021 between January and September

NOTE: November and December DATA LIKELY INCOMPLETE. ANY STATE WITH 0.0% CHANGE IN EXCESS DEATHS HAS NOT REPORTED ANY DATA

States sorted by excess deaths                                  |            i           |          States sorted by excess death percent increase              
Iowa had 1992 excess deaths (1.09% change)                      |           39           |          South Dakota had 808 excess deaths (1.14% change)           
Delaware had 1718 excess deaths (1.27% change)                  |           40           |          Hawaii had 1153 excess deaths (1.14% change)                
Maine had 1609 excess deaths (1.16% change)                     |           41           |          Connecticut had 3174 excess deaths (1.14% change)           
Montana had 1578 excess deaths (1.22% change)                   |           42           |          Illinois had 10660 excess deaths (1.14% change)             
Hawaii had 1153 excess deaths (1.14% change)                    |           43           |          New Hampshire had 1060 excess deaths (1.12% change)         
Nebraska had 1144 excess deaths (1.09% change)                  |           44           |          Pennsylvania had 12067 excess deaths (1.12% change)         
Alaska had 1097 excess deaths (1.4% change)                     |           45           |          Minnesota had 3814 excess deaths (1.12% change)             
New Hampshire had 1060 excess deaths (1.12% change)             |           46           |          Rhode Island had 854 excess deaths (1.12% change)           
Rhode Island had 854 excess deaths (1.12% change)               |           47           |          Wisconsin had 4144 excess deaths (1.11% change)             
Wyoming had 831 excess deaths (1.27% change)                    |           48           |          North Dakota had 475 excess deaths (1.1% change)            
South Dakota had 808 excess deaths (1.14% change)               |           49           |          Nebraska had 1144 excess deaths (1.09% change)              
Vermont had 724 excess deaths (1.18% change)                    |           50           |          Iowa had 1992 excess deaths (1.09% change)                  
North Dakota had 475 excess deaths (1.1% change)                |           51           |          Massachusetts had 3057 excess deaths (1.07% change)         


data current as of 2021-12-19 15:39:53.784708
