
Predicted (weighted) excess deaths in 2020 between March and June

NOTE: February and March DATA LIKELY INCOMPLETE. ANY STATE WITH 0.0% CHANGE IN EXCESS DEATHS HAS NOT REPORTED ANY DATA

States sorted by excess deaths                                  |            i           |          States sorted by excess death percent increase              
North Dakota had 190 excess deaths (1.09% change)               |           44           |          Oklahoma had 497 excess deaths (1.04% change)               
Vermont had 122 excess deaths (1.07% change)                    |           45           |          South Dakota had 96 excess deaths (1.04% change)            
South Dakota had 96 excess deaths (1.04% change)                |           46           |          Oregon had 466 excess deaths (1.04% change)                 
Wyoming had 91 excess deaths (1.07% change)                     |           47           |          Alaska had 41 excess deaths (1.03% change)                  
Maine had 42 excess deaths (1.01% change)                       |           48           |          Kansas had 283 excess deaths (1.03% change)                 
Alaska had 41 excess deaths (1.03% change)                      |           49           |          Maine had 42 excess deaths (1.01% change)                   
Montana had 25 excess deaths (1.01% change)                     |           50           |          Montana had 25 excess deaths (1.01% change)                 
Hawaii had -38 excess deaths (0.99% change)                     |           51           |          Hawaii had -38 excess deaths (0.99% change)                 


data current as of 2021-03-02 19:14:19.045663
