
Predicted (weighted) excess deaths in 2021 between January and December

NOTE: November and December DATA LIKELY INCOMPLETE. ANY STATE WITH 0.0% CHANGE IN EXCESS DEATHS HAS NOT REPORTED ANY DATA

States sorted by excess deaths                                  |            i           |          States sorted by excess death percent increase              
Iowa had 1198 excess deaths (1.04% change)                      |           40           |          Hawaii had 755 excess deaths (1.07% change)                 
Alaska had 1161 excess deaths (1.31% change)                    |           41           |          Maryland had 3384 excess deaths (1.07% change)              
Wyoming had 1137 excess deaths (1.28% change)                   |           42           |          Illinois had 7116 excess deaths (1.07% change)              
West Virginia had 943 excess deaths (1.04% change)              |           43           |          Wisconsin had 3503 excess deaths (1.07% change)             
New Hampshire had 883 excess deaths (1.08% change)              |           44           |          Pennsylvania had 8874 excess deaths (1.07% change)          
Hawaii had 755 excess deaths (1.07% change)                     |           45           |          Nebraska had 745 excess deaths (1.05% change)               
Nebraska had 745 excess deaths (1.05% change)                   |           46           |          Connecticut had 1319 excess deaths (1.04% change)           
South Dakota had 708 excess deaths (1.09% change)               |           47           |          West Virginia had 943 excess deaths (1.04% change)          
Vermont had 701 excess deaths (1.13% change)                    |           48           |          Iowa had 1198 excess deaths (1.04% change)                  
North Dakota had 580 excess deaths (1.09% change)               |           49           |          North Carolina had 2791 excess deaths (1.03% change)        
Rhode Island had 264 excess deaths (1.03% change)               |           50           |          Rhode Island had 264 excess deaths (1.03% change)           
Massachusetts had -52 excess deaths (1.0% change)               |           51           |          Massachusetts had -52 excess deaths (1.0% change)           


data current as of 2021-12-19 15:39:53.784708
