
Predicted (weighted) excess deaths in 2020 during December

NOTE: April and May DATA LIKELY INCOMPLETE. ANY STATE WITH 0.0% CHANGE IN EXCESS DEATHS HAS NOT REPORTED ANY DATA

States sorted by excess deaths                                  |            i           |          States sorted by excess death percent increase              
Minnesota had 1146 excess deaths (1.28% change)                 |           21           |          Tennessee had 2114 excess deaths (1.31% change)             
Nevada had 1129 excess deaths (1.49% change)                    |           22           |          Alabama had 1445 excess deaths (1.3% change)                
Kansas had 1127 excess deaths (1.47% change)                    |           23           |          Alaska had 102 excess deaths (1.29% change)                 
New Mexico had 1048 excess deaths (1.65% change)                |           24           |          Mississippi had 840 excess deaths (1.29% change)            
Virginia had 1011 excess deaths (1.16% change)                  |           25           |          Michigan had 2526 excess deaths (1.29% change)              
Iowa had 902 excess deaths (1.33% change)                       |           26           |          Texas had 5379 excess deaths (1.29% change)                 
Maryland had 888 excess deaths (1.2% change)                    |           27           |          Minnesota had 1146 excess deaths (1.28% change)             
Mississippi had 840 excess deaths (1.29% change)                |           28           |          West Virginia had 571 excess deaths (1.28% change)          
South Carolina had 806 excess deaths (1.18% change)             |           29           |          Idaho had 331 excess deaths (1.27% change)                  
Arkansas had 758 excess deaths (1.25% change)                   |           30           |          Kentucky had 1210 excess deaths (1.27% change)              
Connecticut had 634 excess deaths (1.22% change)                |           31           |          United States had 68742 excess deaths (1.27% change)        
Louisiana had 575 excess deaths (1.14% change)                  |           32           |          Utah had 448 excess deaths (1.26% change)                   
West Virginia had 571 excess deaths (1.28% change)              |           33           |          Arkansas had 758 excess deaths (1.25% change)               
Utah had 448 excess deaths (1.26% change)                       |           34           |          Nebraska had 376 excess deaths (1.25% change)               
Washington had 421 excess deaths (1.08% change)                 |           35           |          Connecticut had 634 excess deaths (1.22% change)            
Oregon had 420 excess deaths (1.13% change)                     |           36           |          New Jersey had 1389 excess deaths (1.21% change)            
Nebraska had 376 excess deaths (1.25% change)                   |           37           |          Maryland had 888 excess deaths (1.2% change)                
North Carolina had 348 excess deaths (1.04% change)             |           38           |          New York had 1688 excess deaths (1.19% change)              
Massachusetts had 339 excess deaths (1.06% change)              |           39           |          Georgia had 1399 excess deaths (1.18% change)               
Idaho had 331 excess deaths (1.27% change)                      |           40           |          South Carolina had 806 excess deaths (1.18% change)         
South Dakota had 326 excess deaths (1.48% change)               |           41           |          New Hampshire had 177 excess deaths (1.16% change)          
Rhode Island had 303 excess deaths (1.33% change)               |           42           |          Virginia had 1011 excess deaths (1.16% change)              
North Dakota had 299 excess deaths (1.5% change)                |           43           |          Louisiana had 575 excess deaths (1.14% change)              
Montana had 280 excess deaths (1.32% change)                    |           44           |          Oregon had 420 excess deaths (1.13% change)                 
Delaware had 264 excess deaths (1.33% change)                   |           45           |          Florida had 1643 excess deaths (1.09% change)               
New Hampshire had 177 excess deaths (1.16% change)              |           46           |          Washington had 421 excess deaths (1.08% change)             
Wyoming had 164 excess deaths (1.43% change)                    |           47           |          Maine had 85 excess deaths (1.07% change)                   
Alaska had 102 excess deaths (1.29% change)                     |           48           |          Vermont had 32 excess deaths (1.06% change)                 
Maine had 85 excess deaths (1.07% change)                       |           49           |          Massachusetts had 339 excess deaths (1.06% change)          
Vermont had 32 excess deaths (1.06% change)                     |           50           |          North Carolina had 348 excess deaths (1.04% change)         
Hawaii had -128 excess deaths (0.87% change)                    |           51           |          Hawaii had -128 excess deaths (0.87% change)                


data current as of 2021-05-09 16:50:41.004257
